City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Tucuman,AR,2021-05-31 20:45:57,-26.8241,-65.2226,69.8,49,0,1.34,clear sky
60,Camopi,GF,2021-05-31 20:55:39,3.1655,-52.3158,75.85,97,99,3.49,light rain
61,Tasiilaq,GL,2021-05-31 20:55:40,65.6145,-37.6368,34.3,81,94,5.77,overcast clouds
62,Jalu,LY,2021-05-31 20:48:41,29.0331,21.5482,81.23,30,0,14.23,clear sky
63,Port Lincoln,AU,2021-05-31 20:48:47,-34.7333,135.8667,59.79,42,100,9.8,light rain
64,Mon,IN,2021-05-31 20:55:40,26.75,95.1,69.8,98,98,0.98,overcast clouds
65,Huangzhai,CN,2021-05-31 20:55:41,38.0751,112.6595,54.01,57,100,2.46,overcast clouds
66,Bataipora,BR,2021-05-31 20:55:41,-22.2953,-53.2711,68.2,90,70,6.2,broken clouds
67,Petushki,RU,2021-05-31 20:55:41,55.9264,39.461,39.27,89,46,2.28,scattered clouds
68,Saint George,US,2021-05-31 20:55:42,37.1041,-113.5841,99.07,9,1,5.01,clear sky
69,Hermanus,ZA,2021-05-31 20:54:49,-34.4187,19.2345,54.9,80,16,6.38,few clouds
70,Kalabo,ZM,2021-05-31 20:55:42,-14.97,22.6814,59.29,32,2,4.79,clear sky
71,Haines Junction,CA,2021-05-31 20:48:17,60.7522,-137.5108,48.15,87,100,4.61,overcast clouds
72,Tiksi,RU,2021-05-31 20:55:43,71.6872,128.8694,43.16,75,8,1.68,clear sky
73,Mataura,NZ,2021-05-31 20:47:47,-46.1927,168.8643,38.46,96,65,2.86,broken clouds
74,Bulgan,MN,2021-05-31 20:55:43,48.8125,103.5347,31.03,89,31,3.74,light snow
75,Adrar,MR,2021-05-31 20:46:05,20.5022,-10.0711,89.51,32,58,9.75,broken clouds
76,Kurchum,KZ,2021-05-31 20:55:44,48.5722,83.6542,61.23,55,37,3.91,scattered clouds
77,Saint-Augustin,CA,2021-05-31 20:43:08,51.226,-58.6502,45.9,89,100,5.91,overcast clouds
78,Nelson Bay,AU,2021-05-31 20:55:44,-32.7167,152.15,45.77,96,100,6.2,overcast clouds
79,Taoudenni,ML,2021-05-31 20:55:45,22.6783,-3.9836,104.77,8,65,5.93,broken clouds
80,Maunabo,PR,2021-05-31 20:55:45,18.0072,-65.8993,87.66,81,16,12.3,few clouds
81,Cairns,AU,2021-05-31 20:55:46,-16.9167,145.7667,69.75,91,90,11.5,overcast clouds
82,Qaanaaq,GL,2021-05-31 20:47:34,77.484,-69.3632,33.53,87,100,1.21,overcast clouds
83,Barrow,US,2021-05-31 20:52:52,71.2906,-156.7887,30.22,74,90,11.5,overcast clouds
84,Mahebourg,MU,2021-05-31 20:55:48,-20.4081,57.7,71.89,83,40,6.91,scattered clouds
85,Punta Arenas,CL,2021-05-31 20:55:49,-53.15,-70.9167,35.71,69,0,5.28,clear sky
86,Norman Wells,CA,2021-05-31 20:55:49,65.282,-126.8329,62.64,55,75,11.5,broken clouds
87,Erenhot,CN,2021-05-31 20:55:49,43.6475,111.9767,48.13,47,100,2.86,overcast clouds
88,Vallenar,CL,2021-05-31 20:55:50,-28.5708,-70.7581,83.91,14,0,6.42,clear sky
89,Butaritari,KI,2021-05-31 20:55:50,3.0707,172.7902,83.59,77,76,19.15,broken clouds
90,Hay River,CA,2021-05-31 20:55:50,60.8156,-115.7999,71.58,33,75,8.05,broken clouds
91,Mkushi,ZM,2021-05-31 20:55:51,-13.6202,29.3939,56.05,57,4,4.76,clear sky
92,Beloha,MG,2021-05-31 20:55:51,-25.1667,45.05,65.28,72,73,7.47,broken clouds
93,Aykhal,RU,2021-05-31 20:52:42,66.0,111.5,53.83,50,100,11.41,overcast clouds
