City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,New Norfolk,AU,2021-05-31 13:13:13,-42.7826,147.0587,41.72,83,100,3.6
67,Dikson,RU,2021-05-31 13:13:14,73.5069,80.5464,31.06,97,100,20.15
68,Korla,CN,2021-05-31 13:13:14,41.7597,86.1469,87.37,12,100,11.61
69,Qasigiannguit,GL,2021-05-31 13:13:15,68.8193,-51.1922,34.05,95,100,3.18
70,Butaritari,KI,2021-05-31 13:13:16,3.0707,172.7902,82.51,79,80,14.18
71,Kodiak,US,2021-05-31 13:13:14,57.79,-152.4072,44.76,98,100,11.77
72,Ambilobe,MG,2021-05-31 13:13:18,-13.2,49.05,85.75,49,15,1.48
73,Bandarbeyla,SO,2021-05-31 13:13:18,9.4942,50.8122,82.99,70,58,31.23
74,Chokurdakh,RU,2021-05-31 13:13:19,70.6333,147.9167,54.9,48,41,11.97
75,Yellowknife,CA,2021-05-31 13:13:20,62.456,-114.3525,40.32,74,100,1.01
76,Xining,CN,2021-05-31 13:13:20,36.6167,101.7667,51.13,69,100,7.0
77,Lujiang,CN,2021-05-31 13:13:21,31.2581,117.2817,80.96,74,49,6.55
78,Jumla,NP,2021-05-31 13:13:21,29.2747,82.1838,61.9,80,70,3.2
79,Thompson,CA,2021-05-31 13:08:58,55.7435,-97.8558,51.96,66,75,6.91
80,Makakilo City,US,2021-05-31 13:13:22,21.3469,-158.0858,71.62,78,1,3.76
81,Semey,KZ,2021-05-31 13:13:22,50.4111,80.2275,86.22,15,0,8.95
82,Cadereyta,MX,2021-05-31 13:13:23,25.5833,-99.9833,83.37,85,100,9.86
83,Makhu,IN,2021-05-31 13:13:24,31.1033,74.9978,96.21,22,98,17.96
84,Itaquyry,PY,2021-05-31 13:13:25,-24.9333,-55.2167,57.42,42,0,2.95
85,Kaitangata,NZ,2021-05-31 13:13:25,-46.2817,169.8464,49.93,87,80,6.73
86,Port Alfred,ZA,2021-05-31 13:13:25,-33.5906,26.891,67.44,42,100,9.35
87,Adrar,MR,2021-05-31 13:13:26,20.5022,-10.0711,101.48,13,100,3.96
88,Port Moresby,PG,2021-05-31 13:13:27,-9.4431,147.1797,75.38,86,98,12.19
89,Rancho Palos Verdes,US,2021-05-31 13:13:27,33.7445,-118.387,62.94,89,100,1.01
90,Sitka,US,2021-05-31 13:13:28,57.0531,-135.33,50.56,95,100,9.1
91,Ribeira Grande,PT,2021-05-31 13:13:28,38.5167,-28.7,66.6,100,75,10.36
92,Ahmadpur Sial,PK,2021-05-31 13:13:28,30.6754,71.7483,103.87,7,0,8.12
93,Ahipara,NZ,2021-05-31 13:13:29,-35.1667,173.1667,57.97,78,7,12.64
94,Svetlyy,RU,2021-05-31 13:13:29,54.675,20.1347,59.05,60,83,8.23
95,Kaitong,CN,2021-05-31 13:13:30,44.8135,123.15,70.21,38,100,21.74
96,Samarai,PG,2021-05-31 13:13:30,-10.6167,150.6667,78.87,79,100,21.14
97,Bilibino,RU,2021-05-31 13:13:30,68.0546,166.4372,48.29,55,24,1.23
98,Port Elizabeth,ZA,2021-05-31 13:13:31,-33.918,25.5701,66.09,64,100,14.65
99,Divnomorskoye,RU,2021-05-31 13:13:31,44.5011,38.1353,73.8,64,64,4.7
100,Ust-Kuyga,RU,2021-05-31 13:13:32,70.0167,135.6,57.18,59,82,7.56
101,Saint-Philippe,RE,2021-05-31 13:13:32,-21.3585,55.7679,77.49,76,12,6.29
102,Ilulissat,GL,2021-05-31 13:13:32,69.2167,-51.1,33.82,86,90,5.75
103,Puerto Ayora,EC,2021-05-31 13:13:33,-0.7393,-90.3518,74.55,86,77,7.0
104,Healdsburg,US,2021-05-31 13:13:33,38.6105,-122.8692,67.51,53,44,1.88
105,Sakaiminato,JP,2021-05-31 13:13:34,35.55,133.2333,63.72,78,78,8.59
106,Balkanabat,TM,2021-05-31 13:13:34,39.5108,54.3671,91.44,31,0,13.94
107,Laa,SL,2021-05-31 13:13:34,8.0797,-10.7732,74.73,97,100,2.04
108,Abu Zabad,SD,2021-05-31 13:09:07,12.35,29.25,100.15,20,68,3.96
109,South Lake Tahoe,US,2021-05-31 13:13:35,38.9332,-119.9844,59.43,62,5,1.9
110,Yantongshan,CN,2021-05-31 13:13:35,43.2919,126.0094,62.98,58,100,5.46
111,Vila Franca Do Campo,PT,2021-05-31 13:13:36,37.7167,-25.4333,66.61,64,98,7.18
112,Port Hardy,CA,2021-05-31 13:13:36,50.6996,-127.4199,54.32,96,100,6.13
113,Hoa Binh,VN,2021-05-31 13:13:36,20.8133,105.3383,94.89,61,97,3.13
114,Vaini,TO,2021-05-31 13:13:37,-21.2,-175.2,73.56,88,90,5.75
115,Saldanha,ZA,2021-05-31 13:13:37,-33.0117,17.9442,60.94,72,15,15.48
116,Superior,US,2021-05-31 13:09:15,46.7208,-92.1041,57.43,92,75,9.22
117,Narsaq,GL,2021-05-31 13:13:38,60.9167,-46.05,46.62,52,81,4.97
118,Beyneu,KZ,2021-05-31 13:13:38,45.3167,55.2,86.38,32,4,12.35
119,Smolenka,RU,2021-05-31 13:13:38,52.1352,113.4974,53.67,26,100,7.78
120,Avarua,CK,2021-05-31 13:13:39,-21.2078,-159.775,71.65,68,97,4.61
121,Lewiston,US,2021-05-31 13:13:39,44.1003,-70.2148,51.62,98,100,6.58
122,Chapais,CA,2021-05-31 13:13:40,49.7834,-74.8492,58.98,43,6,5.53
123,Komsomolskiy,UZ,2021-05-31 13:13:40,40.4272,71.7189,92.62,16,1,9.62
124,Aswan,EG,2021-05-31 13:13:40,24.0934,32.907,112.06,6,11,10.63
125,Elk City,US,2021-05-31 13:13:18,35.412,-99.4043,61.29,100,75,0.0
126,Nushki,PK,2021-05-31 13:13:41,29.5542,66.0215,101.46,5,0,8.25
127,Shamkhal,RU,2021-05-31 13:13:41,43.0596,47.3373,75.18,48,4,11.18
128,Maniitsoq,GL,2021-05-31 13:13:42,65.4167,-52.9,33.94,99,100,15.97
